Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,8000,0.9709768190706068,38.20710203552246,61.90486153137281,0.9709782815447237,0.9709782815447237,21.873504638671875,507.2034912109375,0.1323937147140522,3.645272033360648,0.4394367218017578,1.0,0.34056565,19.10355101776123,2.0184869291648178,100.0,"{'Annual kilometers': 196.42952, 'Age': 167.93726, 'Business Use': 107.11443, 'State': 87.57808, 'Gender': 17.17417}"
XGBoost,40000,0.9745517015231606,35.09996194763183,59.51962340716274,0.9745537833171269,0.9745537833171269,19.3702392578125,663.699951171875,0.11822346076456262,3.28240487724853,-0.5383313507080079,1.0,0.35316765,17.549980973815916,2.0211579039799124,100.0,"{'Annual kilometers': 200.55197, 'Age': 168.83322, 'Business Use': 110.1899, 'State': 81.268936, 'Gender': 16.204689}"
XGBoost,80000,0.9761500583320836,33.21860714111328,56.79010724702403,0.9761512417219169,0.9761512417219169,17.2603759765625,599.210205078125,0.11393453485150776,3.123280833190882,0.40003035278320315,1.0,0.3491629,16.60930357055664,2.00214649223637,100.0,"{'Annual kilometers': 199.25772, 'Age': 167.00858, 'Business Use': 109.13675, 'State': 87.19716, 'Gender': 16.697565}"
XGBoost,8000,0.9733123955730932,38.066177673339844,60.03383752210834,0.9733194678150515,0.9733194678150515,24.0228271484375,522.97900390625,0.13026668947620018,3.675381579435185,0.9772819213867188,1.0,0.35105333,19.033088836669922,2.018342296457555,100.0,"{'Annual kilometers': 196.74171, 'Age': 169.57092, 'Business Use': 108.08875, 'State': 84.786064, 'Gender': 16.572792}"
XGBoost,40000,0.9708059804872111,38.57847630004883,63.810695003183476,0.9708285890938313,0.9708285890938313,21.819580078125,631.182861328125,0.1301619708085278,3.677061543671013,-1.7757565551757812,1.0,0.34950802,19.289238150024413,2.0424932017567667,100.0,"{'Annual kilometers': 196.75987, 'Age': 168.66354, 'Business Use': 108.69163, 'State': 90.26388, 'Gender': 16.794123}"
XGBoost,80000,0.9708343807504403,38.98389261932373,63.38617925161189,0.9708381816263547,0.9708381816263547,22.44775390625,579.853271484375,0.13244969250173555,3.666092009564799,-0.7236037673950195,1.0,0.34491152,19.491946309661866,2.01050891286469,100.0,"{'Annual kilometers': 193.45477, 'Age': 166.87054, 'Business Use': 107.80964, 'State': 84.6491, 'Gender': 15.664172}"
XGBoost,8000,0.9722619831846516,39.337078826904296,61.18921709063727,0.9722836770019095,0.9722836770019095,23.95745849609375,343.9342041015625,0.13370147733872856,3.8465425786347165,1.7112173767089844,1.0,0.35015213,19.668539413452148,2.0041943497844086,100.0,"{'Annual kilometers': 195.97173, 'Age': 168.27594, 'Business Use': 110.18511, 'State': 85.33532, 'Gender': 16.012138}"
XGBoost,40000,0.9704112844985997,40.28745802001953,62.528770128845146,0.9704199052024381,0.9704199052024381,24.02154541015625,548.390380859375,0.1389449792560251,4.056250644216989,1.0673041381835937,1.0,0.34470746,20.143729010009764,1.9950215069832926,100.0,"{'Annual kilometers': 194.14964, 'Age': 166.30283, 'Business Use': 109.41698, 'State': 88.1996, 'Gender': 16.405033}"
XGBoost,80000,0.9769188316664195,33.71513290100098,56.33171638730127,0.9769188503433224,0.9769188503433224,18.1593017578125,560.9288330078125,0.11439912965056684,3.2194487466452886,-0.050672988891601566,1.0,0.3539905,16.85756645050049,2.0056453036328477,100.0,"{'Annual kilometers': 199.5389, 'Age': 166.42561, 'Business Use': 109.10497, 'State': 86.64786, 'Gender': 16.439877}"
XGBoost,8000,0.9624916794991208,44.598140182495115,70.51684570205146,0.9624918218767273,0.9624918218767273,27.57965087890625,792.966552734375,0.1545409299576229,4.424381074177989,0.13738835144042968,0.9995,0.34292462,22.299070091247557,2.0385705609194007,100.0,"{'Annual kilometers': 193.83423, 'Age': 166.50053, 'Business Use': 105.773224, 'State': 84.00523, 'Gender': 15.475624}"
XGBoost,40000,0.9749858825652218,35.5858589263916,58.9347742839246,0.9749864758067219,0.9749864758067219,19.60272216796875,467.45947265625,0.12085107277843064,3.364002551866016,-0.2870085235595703,1.0,0.35227057,17.7929294631958,2.0309720238674833,100.0,"{'Annual kilometers': 198.92227, 'Age': 167.32913, 'Business Use': 109.94817, 'State': 85.35891, 'Gender': 15.871023}"
XGBoost,80000,0.968687002589769,41.01896639099121,65.63446230013346,0.968687006256381,0.968687006256381,25.60711669921875,809.5869140625,0.1398603605840594,4.0303696842956915,0.02245960388183594,0.99995,0.3465481,20.509483195495605,2.003172923351739,100.0,"{'Annual kilometers': 193.39922, 'Age': 167.4367, 'Business Use': 108.25004, 'State': 85.30835, 'Gender': 15.519727}"
