Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
1,XGBoost,100,0.818356506510302,39932.78400390626,58300.252065826055,0.8189083351198138,0.8189083351198138,34065.55296875,206244.11124999996,0.386651888227089,35.41245465616731,-3213.383917968748,0.95,0.6955366,19966.39200195313,2.6918150068786804,100.0,"{'Coverage Limit': 65602.73, 'Incident History': 25409.201, 'Years of Operation': 21396.496, 'Company Size': 19222.604, 'Industry Type': 14967.138, 'Pollution Risk': 6543.3853, 'Regulatory Compliance': 4814.2217}"
2,XGBoost,1000,0.9320345785578461,21143.199735333255,31599.24221825151,0.9320346853055298,0.9320346853055298,12228.015390625005,129578.9925,0.2174078194957984,21.991740019467088,-39.601523223877884,1.0,0.71021813,10571.599867666628,1.9362390902130127,100.0,"{'Coverage Limit': 71949.26, 'Incident History': 35109.4, 'Years of Operation': 22560.043, 'Industry Type': 20771.152, 'Pollution Risk': 14518.293, 'Company Size': 9312.376, 'Regulatory Compliance': 7051.375}"
3,XGBoost,2000,0.9311033811982407,18144.949576342773,30513.664216368164,0.9311328614824294,0.9311328614824294,10535.974999999999,264534.1675,0.19672740070067568,20.723365574932565,-631.1916446044921,0.9975,0.69440776,9072.474788171387,1.841774406580769,100.0,"{'Coverage Limit': 70683.47, 'Incident History': 40091.027, 'Years of Operation': 21960.914, 'Industry Type': 20601.727, 'Pollution Risk': 13713.477, 'Company Size': 11196.589, 'Regulatory Compliance': 8021.165}"
4,XGBoost,5000,0.9448803257377077,16568.001852851565,27542.931681569586,0.9449138507538574,0.9449138507538574,9854.719765625,189565.93374999997,0.1829650906723531,16.531951791689085,-679.2682907421873,1.0,0.6923479,8284.000926425782,2.0688452371175243,100.0,"{'Coverage Limit': 68853.42, 'Incident History': 40096.688, 'Industry Type': 23597.512, 'Years of Operation': 20190.338, 'Pollution Risk': 13592.789, 'Company Size': 10943.831, 'Regulatory Compliance': 9831.369}"
5,XGBoost,100,0.5361186366724244,55552.3190078125,82678.24406559761,0.5541438535295162,0.5541438535295162,30090.362499999996,186168.476875,0.5311505003265657,34.59275586965367,-16297.7642421875,0.8,0.41115633,27776.15950390625,1.7951920370140935,100.0,"{'Coverage Limit': 58083.117, 'Incident History': 24582.436, 'Pollution Risk': 13719.276, 'Industry Type': 11641.964, 'Years of Operation': 6909.4897, 'Regulatory Compliance': 4600.919, 'Company Size': 2082.0005}"
6,XGBoost,1000,0.9073779993184846,20501.07161982422,34508.95034237105,0.9083948599764765,0.9083948599764765,11627.16187499999,221120.90500000003,0.24272178327634672,18.085847361677068,3615.808265332031,0.995,0.68283105,10250.53580991211,2.045466080388393,100.0,"{'Coverage Limit': 66354.12, 'Incident History': 37454.92, 'Industry Type': 20882.36, 'Years of Operation': 18377.889, 'Pollution Risk': 13766.586, 'Company Size': 12645.558, 'Regulatory Compliance': 8367.116}"
7,XGBoost,2000,0.9318034976445627,20221.704385388184,31762.28925185758,0.931822840149191,0.931822840149191,13005.577421874998,190484.42625000002,0.219784253453957,24.048191556389682,-534.9178625366217,1.0,0.7261186,10110.852192694092,1.8817155465851194,100.0,"{'Coverage Limit': 69508.49, 'Incident History': 38699.94, 'Industry Type': 21498.203, 'Years of Operation': 20487.814, 'Pollution Risk': 13308.959, 'Company Size': 12241.86, 'Regulatory Compliance': 10413.467}"
8,XGBoost,5000,0.9633947675757574,14283.656632650145,23104.365035307295,0.9636351420051079,0.9636351420051079,9024.8596875,175017.32,0.1508164313158143,17.309992422851412,1872.2618425061037,1.0,0.7297623,7141.828316325073,1.946430120965981,100.0,"{'Coverage Limit': 70556.64, 'Incident History': 40853.344, 'Industry Type': 24589.793, 'Years of Operation': 19942.803, 'Pollution Risk': 13485.449, 'Company Size': 11125.507, 'Regulatory Compliance': 10212.836}"
9,XGBoost,100,0.5887405645851751,58765.204992187515,75830.70846678155,0.5941905986259526,0.5941905986259526,41310.4909375,169931.73562499997,0.6227652660463728,29.56404348598387,8729.448023437504,1.0,0.59614325,29382.602496093758,2.0863869398387798,85.71428571428571,"{'Incident History': 64762.65, 'Coverage Limit': 45808.773, 'Years of Operation': 17807.184, 'Pollution Risk': 16375.742, 'Company Size': 14712.248, 'Industry Type': 9715.974, 'Pollutants Handled': 7194.5234}"
10,XGBoost,1000,0.903085621594336,23715.51739501953,37253.28776375598,0.9032228952114961,0.9032228952114961,14214.025624999995,211221.14,0.25733526081267083,22.06250002984945,1402.051733105469,1.0,0.6765316,11857.758697509766,2.4423939671530634,100.0,"{'Coverage Limit': 69461.164, 'Incident History': 39806.473, 'Years of Operation': 20233.557, 'Industry Type': 20103.225, 'Pollution Risk': 16455.025, 'Company Size': 10520.526, 'Regulatory Compliance': 7436.0664}"
