Model,Sample Size,R²,MAE,RMSE,Accuracy,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,9600,0.9513230891120529,16724.835198950706,27383.725668599065,0.9513328179318868,10133.688437499994,218248.23250000004,0.17265131399002562,20.841925420918837,-387.1338183517456,1.0,0.73929083,8362.417599475353,1.9755045367613733,100.0,"{'Coverage Limit': 73606.95, 'Incident History': 40020.34, 'Industry Type': 21368.098, 'Years of Operation': 20628.086, 'Pollution Risk': 13639.036, 'Company Size': 11948.147, 'Regulatory Compliance': 10288.965}"
XGBoost,33600,0.9530684679614237,15997.343179269557,25787.09971599036,0.9530738816257569,9925.439414062497,272405.56625000003,0.17221765004074222,19.22047009357291,-276.95919998663055,0.9996428571428572,0.7284882,7998.671589634779,2.0023522855419893,100.0,"{'Coverage Limit': 71766.22, 'Incident History': 39562.523, 'Industry Type': 22973.037, 'Years of Operation': 20864.105, 'Pollution Risk': 13182.625, 'Company Size': 11960.683, 'Regulatory Compliance': 10207.249}"
XGBoost,44000,0.9526188014621022,15851.60347380482,25572.508612666672,0.9526456637160043,9900.893750000003,291070.62749999994,0.17403389103284572,19.654461215262923,608.8937794728782,0.9995454545454545,0.7132108,7925.80173690241,2.0109183167579063,100.0,"{'Coverage Limit': 70928.055, 'Incident History': 40474.008, 'Industry Type': 22780.69, 'Years of Operation': 20768.236, 'Pollution Risk': 14036.181, 'Company Size': 12149.161, 'Regulatory Compliance': 10366.19}"
XGBoost,52800,0.9530046250961891,15624.892603280527,26136.568557943618,0.9530046260817926,9357.237343749992,335085.5325,0.16772870937373316,18.674265349741958,-3.785054318491567,0.9993939393939394,0.7247645,7812.446301640263,1.988817295579251,100.0,"{'Coverage Limit': 70764.51, 'Incident History': 40786.344, 'Industry Type': 21700.188, 'Years of Operation': 20629.672, 'Pollution Risk': 13669.894, 'Company Size': 11793.614, 'Regulatory Compliance': 10257.937}"
XGBoost,96000,0.9562728987191681,15217.469106584907,25006.84045224196,0.9562761473619881,9373.548437499994,300972.28625,0.16413830849152541,18.166747364091737,-215.54326701784774,0.9995833333333334,0.7260867,7608.734553292454,2.0006257309378093,100.0,"{'Coverage Limit': 70983.555, 'Incident History': 40229.836, 'Industry Type': 23767.525, 'Years of Operation': 20840.514, 'Pollution Risk': 13849.489, 'Company Size': 12118.039, 'Regulatory Compliance': 10351.106}"
XGBoost,9600,0.9609318332704295,13918.796524592846,23789.266666129744,0.9609339344400843,8035.828125000007,287386.11124999996,0.15096356895214122,17.344539685920658,-174.46169933242786,0.9995833333333334,0.7232792,6959.398262296423,2.0469546465314363,100.0,"{'Coverage Limit': 69915.02, 'Incident History': 41406.15, 'Industry Type': 25941.756, 'Years of Operation': 21928.182, 'Pollution Risk': 14376.198, 'Company Size': 11992.128, 'Regulatory Compliance': 10415.481}"
XGBoost,33600,0.9597599666522592,14276.318038286989,24054.000757468613,0.9597604528275403,8491.079960937499,315458.6975,0.15371709722012483,17.48670097930038,-83.60930076141342,0.9996428571428572,0.7264678,7138.159019143494,2.0106139635648246,100.0,"{'Coverage Limit': 71124.83, 'Incident History': 40109.55, 'Industry Type': 24911.184, 'Years of Operation': 21508.576, 'Pollution Risk': 13817.472, 'Company Size': 12104.632, 'Regulatory Compliance': 10403.317}"
XGBoost,44000,0.9551189015834437,14837.853254989015,24814.15054880599,0.955119033756141,8990.162656249999,356743.84750000003,0.16202355096395468,18.634272146034476,42.58322514415399,0.9993636363636363,0.71773255,7418.926627494508,1.9966360257692504,100.0,"{'Coverage Limit': 70665.93, 'Incident History': 39954.09, 'Industry Type': 23452.238, 'Years of Operation': 20640.236, 'Pollution Risk': 13576.523, 'Company Size': 12197.055, 'Regulatory Compliance': 10425.42}"
XGBoost,52800,0.9534989789262541,15428.758880066867,25512.56724320739,0.9535039177501019,9409.418906250008,292472.75625,0.1685908168256944,19.27188776303897,262.9266972206578,0.9995454545454545,0.7192979,7714.379440033434,2.00422366864211,100.0,"{'Coverage Limit': 71131.63, 'Incident History': 40047.996, 'Industry Type': 24350.494, 'Years of Operation': 20616.957, 'Pollution Risk': 13508.684, 'Company Size': 11838.178, 'Regulatory Compliance': 10434.33}"
XGBoost,96000,0.9563314839156518,15173.399586169306,25013.602988786668,0.9563356288914333,9121.775390624996,304885.13749999995,0.16338186580246983,18.869548832249816,-243.69859990140276,0.999625,0.7257215,7586.699793084653,2.009817651321236,100.0,"{'Coverage Limit': 71096.414, 'Incident History': 40027.938, 'Industry Type': 23953.598, 'Years of Operation': 20622.549, 'Pollution Risk': 13839.2, 'Company Size': 12069.959, 'Regulatory Compliance': 9951.858}"
