Model,Sample Size,R²,MAE,RMSE,Accuracy,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,10000,0.8923624667748684,349.5440144954809,1026.2690758445149,0.8925353862257385,39.69016959786411,14080.451093750002,0.1726726293452792,72.91244871696904,-41.13403359088272,0.9935,1.944359,174.77200724774045,2.0407197825036367,100.0,"{'Company Size': 1902.8386, 'Business Interruption Cost': 155.42395, 'Data Sensitivity': 127.36738, 'Security Score': 56.21887, 'Industry Risk': 21.218737}"
XGBoost,40000,0.8988682082589586,332.6169939961744,952.8319494657836,0.8988698493942455,38.58170249938965,13054.0073828125,0.1696959351978691,74.7188631115458,-3.8383506953401874,0.993625,1.9403846,166.3084969980872,2.019308675202292,100.0,"{'Company Size': 1914.8274, 'Business Interruption Cost': 165.00136, 'Data Sensitivity': 138.72284, 'Security Score': 62.13595, 'Industry Risk': 6.793899}"
XGBoost,50000,0.900730150900023,321.8178377725103,923.9783699392698,0.9007367182620252,39.29570640563965,20285.903984375,0.1672017670092909,71.05418182700635,-7.515339455205679,0.9946,1.9057289,160.90891888625515,1.956100907389749,100.0,"{'Company Size': 1898.1094, 'Business Interruption Cost': 167.38316, 'Data Sensitivity': 143.2771, 'Security Score': 51.94132, 'Industry Risk': 6.401715}"
XGBoost,48000,0.9079439536083558,327.8001087207036,916.334849719236,0.9079439661517332,40.50015670776367,12779.2976953125,0.1647465657697841,71.8839113340413,-0.3382480401059753,0.995,1.9382174,163.9000543603518,2.0100409422863774,100.0,"{'Company Size': 1954.3959, 'Business Interruption Cost': 171.7554, 'Data Sensitivity': 147.3029, 'Security Score': 58.981663, 'Industry Risk': 5.393486}"
XGBoost,100000,0.9053393628796804,311.3018687794888,916.1965642009882,0.9053430265542354,35.28703277587891,15745.90625,0.1613672363113421,73.2458156613472,-5.69983641100399,0.99465,1.9708595,155.65093438974438,2.0086613467289887,100.0,"{'Company Size': 1911.8646, 'Business Interruption Cost': 166.53435, 'Data Sensitivity': 142.43277, 'Security Score': 52.527645, 'Industry Risk': 12.481359}"
XGBoost,10000,0.8981041735337084,308.67492944237705,872.0036389662724,0.8981245317922971,39.79092163085937,8774.445195312499,0.1752659139474584,74.69431664410801,12.325666492347716,0.994,2.0168076,154.33746472118852,2.0038415679666497,80.0,"{'Company Size': 1835.2399, 'Business Interruption Cost': 160.91331, 'Data Sensitivity': 129.87119, 'Security Score': 61.009064, 'Geographic Location': 10.234435}"
XGBoost,40000,0.9007558469919182,325.9170814755909,923.5564766973748,0.9007558960844568,39.43854209899902,13981.8101171875,0.1685878785660229,72.24847952852048,0.6495592008991534,0.994625,1.9104632,162.95854073779546,1.997324044689325,100.0,"{'Company Size': 1919.4556, 'Business Interruption Cost': 166.95479, 'Data Sensitivity': 138.00687, 'Security Score': 57.08612, 'Industry Risk': 13.415633}"
XGBoost,50000,0.9052055258050652,310.64735236492777,906.6217079027384,0.905208830251962,37.66599822998048,13257.9513671875,0.1629666317301775,74.76660186587894,5.352836657438694,0.9953,1.9588703,155.32367618246388,2.0101561254423084,100.0,"{'Company Size': 1911.119, 'Business Interruption Cost': 172.4368, 'Data Sensitivity': 145.28067, 'Security Score': 55.87919, 'Industry Risk': 14.445579}"
XGBoost,48000,0.9004531128214084,323.6305151400662,945.5680983430464,0.900459925137443,37.009673309326175,19619.604140625,0.1656741676583013,73.48311128058491,7.822154020814436,0.9945,1.9335853,161.8152575700331,1.9804782584836869,100.0,"{'Company Size': 1925.7859, 'Business Interruption Cost': 165.33493, 'Data Sensitivity': 141.11197, 'Security Score': 49.79, 'Industry Risk': 7.7226706}"
XGBoost,100000,0.9014495322290929,323.92265830857974,942.5928897042965,0.9014578959984834,38.785021133422845,17256.2804296875,0.164934590694828,73.83761598500774,-8.68352060758736,0.99465,1.9190063,161.96132915428987,1.997226664583842,100.0,"{'Company Size': 1922.2902, 'Business Interruption Cost': 164.18993, 'Data Sensitivity': 145.58386, 'Security Score': 54.65722, 'Industry Risk': 6.610975}"
XGBoost,10000,0.9022561681468968,317.2266378089684,881.0957784659438,0.9022859168633768,40.83071207046508,14045.85796875,0.1712725107045348,78.15248788995643,15.371369290679102,0.9955,1.92699,158.6133189044842,2.002142609362365,80.0,"{'Company Size': 1869.1677, 'Business Interruption Cost': 146.22662, 'Data Sensitivity': 134.03854, 'Security Score': 46.580055, 'Geographic Location': 29.20459}"
XGBoost,40000,0.8998551406557991,316.6902767559667,939.9939326041766,0.8998791840044017,34.74055492401123,16904.3251171875,0.1641283156762832,71.29648540370337,-14.56492311896164,0.99525,1.925265,158.34513837798335,1.9769431395747064,100.0,"{'Company Size': 1885.8934, 'Business Interruption Cost': 151.942, 'Data Sensitivity': 138.2461, 'Security Score': 51.851887, 'Industry Risk': 4.8133106}"
XGBoost,50000,0.9020740745278644,323.4132911700903,939.9498896165304,0.9020741056935933,36.6746475982666,15710.078359374998,0.1637357602659712,70.81157490696745,0.5302668812330976,0.9933,1.9399241,161.70664558504515,1.9886528852497192,100.0,"{'Company Size': 1941.4552, 'Business Interruption Cost': 168.81998, 'Data Sensitivity': 143.23769, 'Security Score': 54.21685, 'Industry Risk': 7.3266773}"
XGBoost,48000,0.9037819974261156,322.215989499563,941.1557347984416,0.9037931472335944,38.0710168838501,16008.0325,0.1651294927197885,74.49652831851327,-10.131342764658534,0.9938333333333332,1.9501458,161.1079947497815,2.0207229057176197,80.0,"{'Company Size': 1923.0161, 'Business Interruption Cost': 167.05533, 'Data Sensitivity': 146.4833, 'Security Score': 53.694298, 'Geographic Location': 4.333018}"
