Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
21,XGBoost,100,0.826683913674825,532.3250846848488,1555.041562208016,0.8455598530871632,0.8455598530871632,44.12610061645509,6177.159531249999,0.21500092710382207,101.87271111199377,-513.188424223423,0.95,2.3161137,266.1625423424244,1.9345661693302751,80.0,"{'Company Size': 1590.0956, 'Business Interruption Cost': 46.04318, 'Security Score': 30.914059, 'Industry Risk': 23.040436, 'Compliance Standard': 20.320898}"
22,XGBoost,1000,0.8833064244950828,453.1334136331796,1184.6686285657177,0.8844430295484572,0.8844430295484572,54.49435173034668,7387.310507812501,0.19998997406619642,73.02079646986103,-116.91714609177112,0.99,1.8463372,226.5667068165898,1.810795543732701,80.0,"{'Company Size': 1953.7766, 'Data Sensitivity': 123.455246, 'Business Interruption Cost': 116.49359, 'Security Score': 59.035538, 'Previous Cyber Incidents': 49.562172}"
23,XGBoost,2000,0.8687859111149858,424.8598155351893,1209.8590639836812,0.8692676876824026,0.8692676876824026,49.04968948364262,11759.05484375,0.18968580243829586,69.95037452447168,-73.31070304730086,0.9925,1.8004738,212.42990776759464,1.97917411114264,100.0,"{'Company Size': 2007.9036, 'Business Interruption Cost': 189.71608, 'Data Sensitivity': 158.77646, 'Industry Risk': 81.72139, 'Security Score': 64.10302}"
24,XGBoost,5000,0.8945788383270181,327.6206028180468,952.7421461606187,0.8946503999954629,0.8946503999954629,43.35636512756348,10279.1303515625,0.17549901321493294,72.7501839631572,-24.82285368325829,0.995,1.9492587,163.8103014090234,1.936238839166595,100.0,"{'Company Size': 1828.4579, 'Business Interruption Cost': 163.85445, 'Data Sensitivity': 111.76769, 'Security Score': 45.133087, 'Industry Risk': 14.95685}"
25,XGBoost,100,0.46506778891865497,1086.1586369767188,2375.6960240866406,0.571526111106676,0.571526111106676,22.93162914276123,7941.8009765625,0.4327016322088553,68.24639117819974,1059.8180323786733,1.0,1.5695819,543.0793184883594,1.700818749748611,80.0,"{'Company Size': 3386.5535, 'Business Interruption Cost': 445.0467, 'Data Sensitivity': 70.03289, 'Compliance Standard': 41.292984, 'Industry Risk': 21.13167}"
26,XGBoost,1000,0.9334919965689581,345.4546697968483,786.863158006279,0.935442644678382,0.935442644678382,61.602610473632836,4215.628359375,0.1584314926286943,71.27984478520281,134.75712033739092,1.0,1.7644557,172.72733489842415,2.0704254100758055,80.0,"{'Company Size': 2083.767, 'Business Interruption Cost': 207.7601, 'Data Sensitivity': 146.8652, 'Compliance Standard': 34.686634, 'Industry Risk': 29.827133}"
27,XGBoost,2000,0.835538844706765,415.3508671593905,1261.2934424088726,0.8375794144422151,0.8375794144422151,51.895982818603514,14694.230078125001,0.2103317257214842,83.10715679502162,-140.49478046064377,0.985,1.9181377,207.67543357969524,1.94302408915223,80.0,"{'Company Size': 1833.24, 'Business Interruption Cost': 119.529564, 'Data Sensitivity': 95.81923, 'Security Score': 44.33948, 'Geographic Location': 39.050655}"
28,XGBoost,5000,0.8935029312771275,321.8695615673029,919.0136887678094,0.8937310258641828,0.8937310258641828,40.621315231323244,10254.59015625,0.17347056642290495,75.25447935568147,42.531494422811264,0.995,1.9492905,160.93478078365146,1.9787541894465326,100.0,"{'Company Size': 1905.5576, 'Business Interruption Cost': 175.69547, 'Data Sensitivity': 108.89297, 'Security Score': 38.99726, 'Industry Risk': 28.784777}"
29,XGBoost,100,0.8216365833219216,343.1894316868782,638.1904200761389,0.8620917837004493,0.8620917837004493,111.25241851806638,1726.4428906249996,0.3814918632981834,51.07579846102185,303.93769636678695,1.0,1.7675496,171.5947158434391,1.8848615337066368,80.0,"{'Company Size': 1261.6765, 'Industry Risk': 61.08773, 'Business Interruption Cost': 56.67994, 'Types of Data Stored': 37.346233, 'Data Sensitivity': 16.681997}"
30,XGBoost,1000,0.8988233130815126,422.42615909254556,1093.6228720123372,0.8991304180693388,0.8991304180693388,38.93669174194336,6446.879023437499,0.1766527568146145,78.68760475205939,60.25190635888575,1.0,1.8523114,211.21307954627278,1.909447895677354,100.0,"{'Company Size': 2165.8047, 'Business Interruption Cost': 164.32375, 'Data Sensitivity': 129.19374, 'Security Score': 54.40593, 'Industry Risk': 52.87581}"
