Experiment Index,Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
11,XGBoost,2000,0.9570145128613519,48.8546280670166,74.5613633637089,0.9577485309544379,0.9577485309544379,33.6622314453125,399.795654296875,0.1699142182017635,4.8346011384161836,9.743304977416992,1.0,0.3427174,24.4273140335083,1.89514277499244,100.0,"{'Annual kilometers': 183.77779, 'Age': 171.572, 'Business Use': 102.65071, 'State': 84.11011, 'Gender': 15.982558}"
12,XGBoost,5000,0.9608040330958965,44.75562115478515,75.2678096408684,0.9608118450886372,0.9608118450886372,25.572052001953125,572.3857421875,0.14944153967434717,4.183923552020567,-1.0625992431640625,1.0,0.34717044,22.377810577392577,2.0353951814847715,100.0,"{'Annual kilometers': 190.43492, 'Age': 166.92752, 'Business Use': 103.3962, 'State': 81.174255, 'Gender': 14.854174}"
13,XGBoost,100,0.953622544542004,53.442649841308594,81.1024034129011,0.9537540822953963,0.9537540822953963,31.111053466796875,282.0023193359375,0.17462064970203753,5.456036778382351,-4.319221496582031,1.0,0.3602815,26.721324920654297,2.371004319967426,80.0,"{'Age': 185.89844, 'Annual kilometers': 138.58194, 'Business Use': 81.54466, 'State': 69.77052, 'Sum Insured Amount': 14.526358}"
14,XGBoost,1000,0.9644661543611215,40.12775863647461,65.85093758602162,0.9646257202569021,0.9646257202569021,25.79095458984375,411.7474365234375,0.1417344262639576,3.8503834873429,4.41276596069336,1.0,0.3368985,20.063879318237305,1.8876597456298754,100.0,"{'Annual kilometers': 198.39119, 'Age': 171.65442, 'Business Use': 103.652756, 'State': 76.86579, 'Gender': 13.831459}"
15,XGBoost,2000,0.9645891418490949,40.40755714416504,64.91379854322209,0.9651230535008367,0.9651230535008367,23.167022705078125,331.9410400390625,0.1472504826896066,3.8076247079242496,7.970829086303711,1.0,0.3287605,20.20377857208252,1.938827627231422,100.0,"{'Annual kilometers': 193.289, 'Age': 170.83362, 'Business Use': 108.75042, 'State': 87.018524, 'Gender': 16.215302}"
16,XGBoost,5000,0.9766005089184783,37.03150109863281,56.47099643414752,0.9766176242202097,0.9766176242202097,22.340118408203125,303.329833984375,0.12569638882305634,3.6686705662413575,1.5272654418945313,1.0,0.36407897,18.515750549316405,1.9924934124931661,100.0,"{'Annual kilometers': 198.5671, 'Age': 168.38962, 'Business Use': 112.3786, 'State': 82.640015, 'Gender': 17.122702}"
17,XGBoost,100,0.7073065295509673,166.1096405029297,201.45218329413908,0.7337927166786188,0.7337927166786188,145.76544189453125,443.2642822265625,0.5744061431365033,15.486138064151096,-60.60035705566406,1.0,0.22725043,83.05482025146485,2.0848283602408486,80.0,"{'Age': 141.11613, 'Annual kilometers': 111.49821, 'Business Use': 89.04312, 'State': 50.401386, 'Number of Claims': 21.089882}"
18,XGBoost,1000,0.951412284879587,51.657547607421876,88.60676232603429,0.9517763428497806,0.9517763428497806,29.31829833984375,555.71337890625,0.15868971127429918,4.702541145114168,-7.669885864257813,1.0,0.35765773,25.828773803710938,2.0065458841348756,100.0,"{'Annual kilometers': 192.72693, 'Age': 176.3888, 'Business Use': 112.80585, 'State': 79.48878, 'Gender': 13.566729}"
19,XGBoost,2000,0.9623580390068363,48.348872680664066,73.33195271311277,0.9623687754668573,0.9623687754668573,30.00677490234375,367.9713134765625,0.1640637752333732,4.562873959170196,1.2384762573242187,1.0,0.34471893,24.174436340332033,2.0714174209724687,100.0,"{'Annual kilometers': 197.77412, 'Age': 175.10559, 'Business Use': 107.599884, 'State': 83.458496, 'Gender': 16.161264}"
20,XGBoost,5000,0.9695739922986425,38.621454498291016,64.43104708344255,0.9696276481612347,0.9696276481612347,23.472259521484375,504.2490234375,0.13323791380402583,3.688557875404621,-2.7057102966308593,1.0,0.3490013,19.310727249145508,1.9681049517470963,100.0,"{'Annual kilometers': 192.61794, 'Age': 169.02522, 'Business Use': 108.957985, 'State': 86.516685, 'Gender': 17.175215}"
21,XGBoost,100,0.6610602584005318,146.75857849121093,240.26199712822486,0.6679430513182288,0.6679430513182288,62.633056640625,757.844482421875,0.5335705453234355,13.958446991964918,-34.23782653808594,0.9,0.22240245,73.37928924560546,2.206454295704162,80.0,"{'Annual kilometers': 161.04651, 'Age': 92.38585, 'Business Use': 49.28936, 'State': 43.178978, 'Sum Insured Amount': 15.723417}"
22,XGBoost,1000,0.9603108346621532,41.17826248168945,67.18091679900834,0.9611683054993732,0.9611683054993732,23.813323974609375,289.1414794921875,0.15024946543592682,4.000741748377956,9.874602508544921,1.0,0.3270579,20.589131240844726,1.883351712000538,100.0,"{'Annual kilometers': 200.03702, 'Age': 162.4907, 'Business Use': 111.91037, 'State': 80.26587, 'Gender': 18.520493}"
23,XGBoost,2000,0.9736651601518052,37.0444896697998,54.66709612221976,0.9737551044729378,0.9737551044729378,24.80328369140625,320.1749267578125,0.13688267417188374,3.7892840779364416,3.194828414916992,1.0,0.33503896,18.5222448348999,2.230480087877095,100.0,"{'Annual kilometers': 197.05136, 'Age': 172.70221, 'Business Use': 107.987526, 'State': 77.12165, 'Gender': 14.181979}"
24,XGBoost,5000,0.9783748541094897,31.78852734375,54.505338060549725,0.9783781091719784,0.9783781091719784,17.63226318359375,402.3984375,0.10638460327668246,3.061588748745151,0.6687120971679688,1.0,0.35412797,15.894263671875,2.0543004371265456,100.0,"{'Annual kilometers': 191.27032, 'Age': 167.01733, 'Business Use': 106.23963, 'State': 86.22787, 'Gender': 17.693666}"
25,XGBoost,100,0.7479903199690067,125.68688049316407,178.42141789751284,0.8241483010352668,0.8241483010352668,84.80926513671875,600.161376953125,0.44130854617427384,14.741168197717256,98.08352966308594,1.0,0.35671392,62.843440246582034,1.3809422135113938,80.0,"{'Annual kilometers': 206.14677, 'Age': 144.59824, 'Business Use': 91.74654, 'State': 37.962227, 'Year': 15.312941}"
26,XGBoost,1000,0.9528119512913767,55.08447967529297,81.4024170561297,0.9528230642944809,0.9528230642944809,33.705047607421875,366.580810546875,0.1817547331421774,5.3349187128491184,-1.2492144775390626,1.0,0.33585373,27.542239837646484,1.861369376856236,100.0,"{'Annual kilometers': 183.40947, 'Age': 171.70636, 'Business Use': 112.763626, 'State': 77.36528, 'Gender': 12.740109}"
