Model,Sample Size,R²,MAE,RMSE,Accuracy,Explained Variance,MedAE,Max Error,RAE,sMAPE,Bias,PICP,CV,Quantile Loss,Durbin-Watson,SHAP Match Percentage,Top SHAP Features
XGBoost,40000,0.9047610614470887,314.1860587744899,917.9615622448664,0.9047980660109453,0.9047980660109453,34.12814474374056,17127.5691796875,0.161344625923482,69.38503287171875,-18.094428388134897,0.9949,1.9391036,157.09302938724494,2.008988931371613,100.0,"{'Company Size': 1895.0062, 'Business Interruption Cost': 161.7423, 'Data Sensitivity': 138.50761, 'Security Score': 55.28832, 'Industry Risk': 12.344912}"
XGBoost,80000,0.9075333924171536,309.531404596286,895.9523049053355,0.9075333934412886,0.9075333934412886,34.34054634094238,14180.633828125,0.16061607203302583,72.0483127286143,-0.09429117122575735,0.9948,1.9496353,154.765702298143,1.9947519454376212,100.0,"{'Company Size': 1918.6912, 'Business Interruption Cost': 163.45778, 'Data Sensitivity': 143.11456, 'Security Score': 60.805218, 'Industry Risk': 8.721664}"
XGBoost,8000,0.8896119007636734,332.92569301873385,985.8901320320709,0.8897426669162456,0.8897426669162456,46.72874702453613,15777.7823828125,0.17390184978611553,74.44647186600358,33.93243806304752,0.9955,1.9236068,166.46284650936693,1.9991303461264336,100.0,"{'Company Size': 1934.4174, 'Business Interruption Cost': 171.13972, 'Data Sensitivity': 138.86728, 'Security Score': 54.890285, 'Industry Risk': 17.56123}"
XGBoost,40000,0.9120979517192168,308.8595292091434,863.8738184041111,0.9120991494708005,0.9120991494708005,38.598163452148455,11090.8784375,0.16266822178874638,75.5638762463546,3.1888507366254344,0.9954,1.9580077,154.4297646045717,1.9905087916709445,100.0,"{'Company Size': 1895.2898, 'Business Interruption Cost': 167.34496, 'Data Sensitivity': 145.39294, 'Security Score': 52.194973, 'Industry Risk': 8.624323}"
XGBoost,80000,0.9048845474757964,318.8382215138343,913.8106827942922,0.9048877430814436,0.9048877430814436,39.41583686828613,16873.388515625,0.16458883955573955,73.22385358921703,5.296723245320947,0.9949,1.9408606,159.41911075691715,1.9984200276376614,80.0,"{'Company Size': 1919.9126, 'Business Interruption Cost': 173.63596, 'Data Sensitivity': 145.53015, 'Security Score': 53.442543, 'Types of Data Stored': 2.9520512}"
XGBoost,8000,0.9107739849267551,320.67570487098874,897.4364666314902,0.9107996740154057,0.9107996740154057,44.21970458984375,11493.195195312499,0.16303683331153304,76.73210748581221,15.227629894908066,0.995,1.9542913,160.33785243549437,2.0365273243312574,100.0,"{'Company Size': 1962.0956, 'Business Interruption Cost': 151.71056, 'Data Sensitivity': 129.07024, 'Security Score': 67.41061, 'Industry Risk': 9.467268}"
XGBoost,40000,0.904928473768983,315.9970534209119,909.2516580059262,0.9049365255487313,0.9049365255487313,35.06324508666992,15382.016484374999,0.16407482244301286,73.86526032205178,8.367675155543687,0.996,1.9455085,157.99852671045596,2.0207425646831862,100.0,"{'Company Size': 1920.8038, 'Business Interruption Cost': 169.24411, 'Data Sensitivity': 150.75957, 'Security Score': 55.490658, 'Industry Risk': 13.012564}"
XGBoost,80000,0.908057917926179,310.3973786653061,891.9903366582714,0.9080590432834624,0.9080590432834624,36.6952574157715,19613.553046875,0.16151786911328597,72.06299093035034,-3.1206725106956963,0.9954,1.9467292,155.19868933265306,2.00160114248921,100.0,"{'Company Size': 1901.9502, 'Business Interruption Cost': 167.60185, 'Data Sensitivity': 138.88478, 'Security Score': 61.79241, 'Industry Risk': 6.8001494}"
XGBoost,8000,0.9031074792006459,319.7515184734583,893.9905661326166,0.9031123100222861,0.9031123100222861,42.05091774940491,9432.535585937501,0.1673766868772947,74.79233123744581,-6.312455216288568,0.9935,1.9133463,159.87575923672915,1.923039896065631,80.0,"{'Company Size': 1918.8346, 'Business Interruption Cost': 165.86157, 'Data Sensitivity': 142.5879, 'Security Score': 55.389553, 'Compliance Standard': 10.045476}"
XGBoost,40000,0.9167282148863708,305.3002199221872,863.2091264365416,0.9167284036969292,0.9167284036969292,39.19568000793457,14671.895429687502,0.15795226683686653,74.69347072105703,-1.2998110489357122,0.996,1.9690417,152.6501099610936,2.028125905394142,100.0,"{'Company Size': 1913.4664, 'Business Interruption Cost': 170.56099, 'Data Sensitivity': 138.96402, 'Security Score': 52.541157, 'Industry Risk': 9.375925}"
XGBoost,80000,0.9057098747070687,320.3171115557969,924.9525970070155,0.9057177408906402,0.9057177408906402,38.31601722717285,14934.391484374999,0.16273270815413543,76.1739463405868,-8.448282122778147,0.99405,1.9442031,160.15855577789844,1.9951830431013728,100.0,"{'Company Size': 1942.984, 'Business Interruption Cost': 173.16048, 'Data Sensitivity': 150.82864, 'Security Score': 60.544033, 'Industry Risk': 5.917984}"
XGBoost,8000,0.9172002939074881,310.28453561172876,821.2272456504184,0.9172112876949319,0.9172112876949319,40.79300338745118,7691.7533984375,0.16496113603333512,74.92324490914014,9.462864464722582,0.9965,1.9638423,155.14226780586438,1.969708183485415,100.0,"{'Company Size': 1914.32, 'Business Interruption Cost': 169.38023, 'Data Sensitivity': 141.2733, 'Security Score': 57.99378, 'Industry Risk': 14.8922415}"
XGBoost,40000,0.9017959878233982,326.0816250387807,936.394667472226,0.901812990602094,0.901812990602094,38.211846847534176,16234.283671874997,0.16584563752268774,73.40104046667769,12.321235747209965,0.9952,1.9258792,163.04081251939036,2.030953744488824,100.0,"{'Company Size': 1941.6062, 'Business Interruption Cost': 171.96312, 'Data Sensitivity': 146.88031, 'Security Score': 58.270195, 'Industry Risk': 6.6180296}"
XGBoost,80000,0.904871142474261,323.76986469627025,913.7311175665772,0.9048930391668089,0.9048930391668089,37.56313453674316,15082.118710937499,0.16718116781600567,74.72060757666888,13.862818428688243,0.99505,1.9531804,161.88493234813512,2.015562284307943,100.0,"{'Company Size': 1933.668, 'Business Interruption Cost': 173.7484, 'Data Sensitivity': 146.8935, 'Security Score': 55.96245, 'Industry Risk': 10.923978}"
XGBoost,8000,0.9007093741338801,347.6422309471243,954.3484456211878,0.9007094495840634,0.9007094495840634,42.98148513793938,12607.5802734375,0.17114960249016956,74.15510941572816,-0.8319227402895558,0.995,1.9161733,173.82111547356214,2.045009751703688,100.0,"{'Company Size': 2005.8046, 'Business Interruption Cost': 165.69543, 'Data Sensitivity': 146.40053, 'Security Score': 53.676342, 'Industry Risk': 6.7976394}"
XGBoost,40000,0.9070235124735702,316.5781056494868,911.776736507123,0.907023628010358,0.907023628010358,35.62208841323853,11831.469960937498,0.16063315604572875,70.26191191565364,-1.0163939798495762,0.9949,1.9425027,158.2890528247434,2.0116481861852296,80.0,"{'Company Size': 1934.7115, 'Business Interruption Cost': 163.71901, 'Data Sensitivity': 139.25783, 'Security Score': 55.04803, 'Geographic Location': 4.8689094}"
XGBoost,80000,0.9046823565526582,316.9644131425296,918.5970212771497,0.9046995391328347,0.9046995391328347,36.360296373367305,21174.738398437497,0.16415106234304794,71.56238512690044,-12.333393102542582,0.99555,1.9593774,158.4822065712648,1.994671442974334,100.0,"{'Company Size': 1894.768, 'Business Interruption Cost': 163.24423, 'Data Sensitivity': 140.7762, 'Security Score': 52.29979, 'Industry Risk': 5.341565}"
XGBoost,8000,0.909586981019068,339.69633240200255,930.3964319123571,0.909588289665951,0.909588289665951,46.74763916015623,14043.600234375,0.16657529510796912,76.62455014027437,3.539678257692147,0.996,1.9331465,169.84816620100128,2.1249724941330754,100.0,"{'Company Size': 1981.1421, 'Business Interruption Cost': 168.45596, 'Data Sensitivity': 134.39944, 'Security Score': 77.19509, 'Industry Risk': 23.569866}"
XGBoost,40000,0.9050261409943421,315.6326916639601,919.3266895317798,0.9050316598218218,0.9050316598218218,39.99796741485596,17807.3516015625,0.16047118355570147,71.89745103145769,-7.0079538832894555,0.9952,1.9239395,157.81634583198004,1.993476282947857,100.0,"{'Company Size': 1930.2262, 'Business Interruption Cost': 165.38445, 'Data Sensitivity': 146.54515, 'Security Score': 56.142258, 'Industry Risk': 11.67235}"
XGBoost,80000,0.9044771073201776,308.34804233848405,905.8607441057904,0.9044823375610473,0.9044823375610473,36.50068116784096,19305.318984375,0.1615163522965141,74.36301385067962,6.702989698478457,0.9953,1.9541613,154.17402116924202,2.016794233862208,100.0,"{'Company Size': 1898.4828, 'Business Interruption Cost': 165.7646, 'Data Sensitivity': 145.73729, 'Security Score': 60.97054, 'Industry Risk': 6.425316}"
